sistema,nombre,same_as_wikidata_nombre,nombre-uri,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,tipo,tipo-uri,alcaldia-1,same_as_wikidata_alcaldia-1,alcaldia-2,same_as_wikidata_alcaldia-2,alcaldias-uri,anio
STC Metro,Salto del Agua,https://www.wikidata.org/entity/Q740243,salto-del-agua,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Balderas,https://www.wikidata.org/entity/Q3356947,balderas,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Cuauhtémoc,https://www.wikidata.org/entity/Q3356912,cuauhtemoc,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Insurgentes,https://www.wikidata.org/entity/Q3301776,insurgentes,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Sevilla,https://www.wikidata.org/entity/Q2056503,sevilla,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1969
STC Metro,Chapultepec,https://www.wikidata.org/entity/Q3357035,chapultepec,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,Miguel Hidalgo,,cuauhtemoc;miguel-hidalgo,1969
STC Metro,Juanacatlán,https://www.wikidata.org/entity/Q3356938,juanacatlan,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Tacubaya,https://www.wikidata.org/entity/Q2744158,tacubaya,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Observatorio,https://www.wikidata.org/entity/Q388460,observatorio,01,linea-1,Line 1,https://wikidata.org/entity/Q2295084,Terminal,terminal,Álvaro Obregón,https://wikidata.org/entity/Q14906254,,,alvaro-obregon,1972
STC Metro,Cuatro Caminos,https://www.wikidata.org/entity/Q3356908,cuatro-caminos,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Terminal,terminal,state of Mexico,https://wikidata.org/entity/Q15149663,Naucalpan de Juárez,https://wikidata.org/entity/Q2276224,estado-de-mexico-naucalpan-de-juarez,1984
STC Metro,Panteones,https://www.wikidata.org/entity/Q3357000,panteones,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1984
STC Metro,Tacuba,https://www.wikidata.org/entity/Q3356901,tacuba,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Cuitláhuac,https://www.wikidata.org/entity/Q3357029,cuitlahuac,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Popotla,https://www.wikidata.org/entity/Q3356929,popotla,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Colegio Militar,https://www.wikidata.org/entity/Q3356873,colegio-militar,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,Normal,https://www.wikidata.org/entity/Q3356995,normal,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Miguel Hidalgo,https://wikidata.org/entity/Q1832732,,,miguel-hidalgo,1970
STC Metro,San Cosme,https://www.wikidata.org/entity/Q3356972,san-cosme,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Revolución,https://www.wikidata.org/entity/Q3357042,revolucion,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Hidalgo,https://www.wikidata.org/entity/Q2541914,hidalgo,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Bellas Artes,https://www.wikidata.org/entity/Q2541953,bellas-artes,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Allende,https://www.wikidata.org/entity/Q3287760,allende,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Zócalo/Tenochtitlan,https://www.wikidata.org/entity/Q3356920,zocalo,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Pino Suárez,https://www.wikidata.org/entity/Q3357008,pino-suarez,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,San Antonio Abad,https://www.wikidata.org/entity/Q3356897,san-antonio-abad,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Chabacano,https://www.wikidata.org/entity/Q3317707,chabacano,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Viaducto,https://www.wikidata.org/entity/Q3357024,viaducto,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,Iztacalco,,benito-juarez;iztacalco,1970
STC Metro,Xola,https://www.wikidata.org/entity/Q3356924,xola,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
STC Metro,Villa de Cortés,https://www.wikidata.org/entity/Q3356965,villa-de-cortes,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
STC Metro,Nativitas,https://www.wikidata.org/entity/Q3356904,nativitas,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
STC Metro,Portales,https://www.wikidata.org/entity/Q3356960,portales,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
STC Metro,Ermita,https://www.wikidata.org/entity/Q5256668,ermita,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia / Transbordo,intermedia-transbordo,Benito Juárez,https://wikidata.org/entity/Q2356998,,,benito-juarez,1970
STC Metro,General Anaya,https://www.wikidata.org/entity/Q3356888,general-anaya,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Intermedia,intermedia,Coyoacán,https://wikidata.org/entity/Q661315,,,coyoacan,1970
STC Metro,Tasqueña,https://www.wikidata.org/entity/Q3357320,tasquena,02,linea-2,Line 2,https://wikidata.org/entity/Q1152993,Terminal,terminal,Coyoacán,https://wikidata.org/entity/Q661315,,,coyoacan,1970
STC Metro,Indios Verdes,https://www.wikidata.org/entity/Q3431052,indios-verdes,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Terminal,terminal,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1979
STC Metro,Deportivo 18 de Marzo,https://www.wikidata.org/entity/Q3431319,deportivo-18-de-marzo,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1979
STC Metro,Potrero,https://www.wikidata.org/entity/Q6824678,potrero,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1979
STC Metro,La Raza,https://www.wikidata.org/entity/Q3429492,la-raza,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1978
STC Metro,Tlatelolco,https://www.wikidata.org/entity/Q3431323,tlatelolco,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Guerrero,https://www.wikidata.org/entity/Q6824578,guerrero,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Hidalgo,https://www.wikidata.org/entity/Q2541914,hidalgo,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Juárez,https://www.wikidata.org/entity/Q6824601,juarez,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
STC Metro,Balderas,https://www.wikidata.org/entity/Q3356947,balderas,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,https://wikidata.org/entity/Q645293,,,cuauhtemoc,1970
