fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR9,1189
,,,,HOR10,1139
,,,,HOR11,904
,,,,HOR12,745
01/03/2025,2025-03-01T01:00:00,ES06,Norte,HOR1,102
,,,,HOR2,59
,,,,HOR3,49
,,,,HOR4,37
,,,,HOR5,49
,,,,HOR6,79
,,,,HOR7,112
,,,,HOR8,204
,,,,HOR9,271
,,,,HOR10,322
,,,,HOR11,460
,,,,HOR12,543
01/03/2025,2025-03-01T01:00:00,ES06,Sur,HOR1,595
,,,,HOR2,528
,,,,HOR3,336
,,,,HOR4,369
,,,,HOR5,406
,,,,HOR6,408
,,,,HOR7,417
,,,,HOR8,475
,,,,HOR9,369
,,,,HOR10,220
,,,,HOR11,344
,,,,HOR12,201
01/03/2025,2025-03-01T01:00:00,ES06,Este,HOR1,128
,,,,HOR2,98
,,,,HOR3,51
,,,,HOR4,46
,,,,HOR5,42
,,,,HOR6,74
,,,,HOR7,90
,,,,HOR8,155
,,,,HOR9,260
,,,,HOR10,328
,,,,HOR11,440
,,,,HOR12,479
01/03/2025,2025-03-01T01:00:00,ES06,Oeste,HOR1,539
,,,,HOR2,491
,,,,HOR3,334
,,,,HOR4,303
,,,,HOR5,338
,,,,HOR6,416
,,,,HOR7,429
,,,,HOR8,414
,,,,HOR9,293
,,,,HOR10,213
,,,,HOR11,195
,,,,HOR12,182
01/03/2025,2025-03-01T01:00:00,ES07,Norte,HOR1,1294
,,,,HOR2,844
,,,,HOR3,636
,,,,HOR4,880
,,,,HOR5,390
,,,,HOR6,291
,,,,HOR7,435
,,,,HOR8,279
,,,,HOR9,745
,,,,HOR10,1033
,,,,HOR11,1720
,,,,HOR12,2119
01/03/2025,2025-03-01T01:00:00,ES07,Sur,HOR1,2069
,,,,HOR2,2295
,,,,HOR3,2495
,,,,HOR4,1777
,,,,HOR5,1552
,,,,HOR6,1897
,,,,HOR7,1154
,,,,HOR8,1812
,,,,HOR9,1732
,,,,HOR10,1675
,,,,HOR11,1581
,,,,HOR12,1552
01/03/2025,2025-03-01T01:00:00,ES07,Este,HOR1,616
,,,,HOR2,477
,,,,HOR3,331
,,,,HOR4,480
,,,,HOR5,206
,,,,HOR6,458
,,,,HOR7,685
,,,,HOR8,534
,,,,HOR9,1195
,,,,HOR10,1276
,,,,HOR11,1545
,,,,HOR12,1728
01/03/2025,2025-03-01T01:00:00,ES07,Oeste,HOR1,1759
,,,,HOR2,2104
,,,,HOR3,2012
,,,,HOR4,1271
,,,,HOR5,1329
,,,,HOR6,1696
,,,,HOR7,1318
,,,,HOR8,1820
,,,,HOR9,1679
,,,,HOR10,1385
,,,,HOR11,1029
,,,,HOR12,864
01/03/2025,2025-03-01T01:00:00,ES08,Norte,HOR1,811
,,,,HOR2,816
,,,,HOR3,774
,,,,HOR4,702
,,,,HOR5,620
,,,,HOR6,494
,,,,HOR7,494
,,,,HOR8,562
,,,,HOR9,595
,,,,HOR10,602
,,,,HOR11,774
,,,,HOR12,864
01/03/2025,2025-03-01T01:00:00,ES08,Sur,HOR1,825
,,,,HOR2,792
,,,,HOR3,827
,,,,HOR4,787
,,,,HOR5,838
,,,,HOR6,804
,,,,HOR7,756
,,,,HOR8,764
