IdStation,Name,Address,AddressForReconciling,same_as_wikidata_address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
1511,107 - Serrano - Conde de Aranda,"Calle Serrano, 8",Serrano Street,https://www.wikidata.org/entity/Q5740879,16,7,23,Poca disponibilidad,Disponible,-3.688384,40.421561
1513,109 - Marqués de Salamanca,"Calle José Ortega y Gasset, 30","Calle de José Ortega y Gasset, Madrid",https://www.wikidata.org/entity/Q16540548,22,1,23,Disponible,Disponible,-3.681452,40.430124
1514,110 - Intercambiador de Moncloa,"Paseo de Moret, 1",paseo de Moret,https://www.wikidata.org/entity/Q26821443,3,20,23,Fuera de servicio,Disponible,-3.720102,40.434745
1516,111B - Metro Moncloa B,"Calle Arcipreste de Hita, 12","Calle del Arcipreste de Hita, Madrid",https://www.wikidata.org/entity/Q27243768,1,22,23,Fuera de servicio,Disponible,-3.717743,40.433913
1517,112 - Paseo de Moret - Parque del Oeste,"Paseo Moret, 9",paseo de Moret,https://www.wikidata.org/entity/Q26821443,17,6,23,Disponible,Disponible,-3.724736,40.43269
1519,114 - Quintana - Juan Álvarez de Mendizábal,"Calle Quintana, 13",calle de Quintana,https://www.wikidata.org/entity/Q28016208,11,12,23,Poca disponibilidad,Disponible,-3.717463,40.427838
1522,116B - Metro Plaza de España,"Calle de los Reyes, 10",calle de los Reyes,https://www.wikidata.org/entity/Q20908841,14,4,18,Disponible,Disponible,-3.71046,40.423684
1523,117 - Altamirano  - Martín de los Heros,"Calle Altamirano, 24","Calle de Altamirano, Madrid",https://www.wikidata.org/entity/Q28015954,1,22,23,Fuera de servicio,Disponible,-3.71889,40.43098
1525,119 - Méndez Álvaro,"Calle Méndez Álvaro, 11","Calle de Méndez Álvaro, Madrid",https://www.wikidata.org/entity/Q5553104,18,5,23,Disponible,Disponible,-3.686265,40.401291
1527,121 - Glorieta de Santa María de la Cabeza,"Paseo de Santa María de la Cabeza, 58",Paseo de Santa María de la Cabeza,https://www.wikidata.org/entity/Q6065630,8,19,27,Fuera de servicio,Disponible,-3.698603,40.401749
1528,122 - Santa Engracia - Zurbarán,"Calle Santa Engracia, 14",calle de Santa Engracia,https://www.wikidata.org/entity/Q26728109,18,5,23,Disponible,Disponible,-3.696366,40.429536
1529,123 - Metro Argüelles,"Calle Guzmán el Bueno, 2",calle de Guzmán el Bueno,https://www.wikidata.org/entity/Q27031398,13,14,27,Poca disponibilidad,Disponible,-3.713341,40.430646
1530,124 - Metro Bilbao,"Calle Manuel Silvela, 20","Calle de Manuel Silvela, Madrid",https://www.wikidata.org/entity/Q28032364,2,25,27,Fuera de servicio,Disponible,-3.699369,40.430969
1531,125 - Fdez. de la Hoz - Gral. Martínez Campos,"Calle Fernández de la Hoz, 29",Fernández de la Hoz street,https://www.wikidata.org/entity/Q27314868,21,6,27,Disponible,Disponible,-3.6948,40.4353
1532,126 - General Álvarez de Castro,"Calle del General Álvarez de Castro, 6","Calle del General Álvarez de Castro, Madrid",https://www.wikidata.org/entity/Q28024232,4,23,27,Fuera de servicio,Disponible,-3.701804,40.434598
1533,127 - Mercado Municipal de Vallehermoso,"Calle Fernando el Católico, 19","Calle de Fernando el Católico, Madrid",https://www.wikidata.org/entity/Q27243299,3,24,27,Fuera de servicio,Disponible,-3.708439,40.433852
1534,128 - Metro Islas Filipinas,"Calle Cea Bermúdez, 59",calle de Cea Bermúdez,https://www.wikidata.org/entity/Q26791743,20,7,27,Disponible,Disponible,-3.7154,40.4392
1535,129 - Metro Alonso Cano,"Calle de José Abascal, 33-35","Calle de José Abascal, Madrid",https://www.wikidata.org/entity/Q27310549,0,27,27,Fuera de servicio,Disponible,-3.698235,40.438387
1536,130 - Metro Ríos Rosas,"Calle de Santa Engracia, 129",calle de Santa Engracia,https://www.wikidata.org/entity/Q26728109,19,4,23,Disponible,Disponible,-3.70164,40.44156
1537,131 - Plaza de Juan Zorrilla,"Calle Bravo Murillo, 44",calle de Bravo Murillo,https://www.wikidata.org/entity/Q5740815,8,15,23,Poca disponibilidad,Disponible,-3.704031,40.441788
1538,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164",calle de Santa Engracia,https://www.wikidata.org/entity/Q26728109,14,13,27,Poca disponibilidad,Disponible,-3.703605,40.446378
1540,134 - María de Guzmán - Agustín de Betancourt,"Calle María de Guzmán, 58","Calle de María de Guzmán, Madrid",https://www.wikidata.org/entity/Q27310035,2,21,23,Fuera de servicio,Disponible,-3.695569,40.444182
1542,136 - Metro Nuevos Ministerios,"Paseo de la Castellana, 106",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,21,2,23,Disponible,Disponible,-3.690769,40.445124
1544,138 - Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,13,10,23,Poca disponibilidad,Disponible,-3.691406,40.445741
1545,139 - José Gutiérrez Abascal - Castellana,"Calle Pedro de Valdivia, 2","Calle de Pedro de Valdivia, Madrid",https://www.wikidata.org/entity/Q28059081,16,8,24,Poca disponibilidad,Disponible,-3.690419,40.439396
1546,140 - Velázquez - López de Hoyos,"Calle Velázquez, 134",Calle de Velázquez,https://www.wikidata.org/entity/Q20031523,22,5,27,Disponible,Disponible,-3.683058,40.438757
1547,141 - Plaza de Emilio Castelar,"Paseo de la Castellana, 43",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,8,4,12,Poca disponibilidad,Disponible,-3.689392,40.435405
1548,142 - Bajo elevado de Eduardo Dato,"Paseo de la Castellana, 42",Paseo de la Castellana,https://www.wikidata.org/entity/Q1473674,20,3,23,Disponible,Disponible,-3.687915,40.433409
1549,186 - General Pardiñas - Don Ramón de la Cruz,"Calle General Pardiñas, 58",General Pardiñas Street,https://www.wikidata.org/entity/Q28065178,13,10,23,Poca disponibilidad,Disponible,-3.678302,40.42898
1550,144 - Metro Diego de León,"Calle de Juan Bravo, 51","Calle de Juan Bravo, Madrid",https://www.wikidata.org/entity/Q28054647,15,12,27,Poca disponibilidad,Disponible,-3.675556,40.432408
1551,145 - Ortega y Gasset 87,"Calle Ortega y Gasset, 87","Calle de José Ortega y Gasset, Madrid",https://www.wikidata.org/entity/Q16540548,2,21,23,Fuera de servicio,Disponible,-3.671282,40.429887
1553,147 - Doctor Arce 45,"Avenida del Doctor Arce, 45","Avenida del Doctor Arce, Madrid",https://www.wikidata.org/entity/Q29199638,4,19,23,Fuera de servicio,Disponible,-3.6794,40.4484
1554,148 - Serrano 210,"Calle Serrano, 210",Serrano Street,https://www.wikidata.org/entity/Q5740879,9,14,23,Poca disponibilidad,Disponible,-3.681397,40.451117
1555,149 - Plaza de Quito,"Paseo de la Habana, 42","Paseo de La Habana, Madrid",https://www.wikidata.org/entity/Q28059068,20,3,23,Disponible,Disponible,-3.68793,40.449852
1557,151 - Orense 12,"Calle Orense, 12","Calle de Orense, Madrid",https://www.wikidata.org/entity/Q26761687,24,3,27,Disponible,Disponible,-3.695359,40.448812
1558,"152 - General Perón, 4","Avenida del General Perón, 4",Avenida del General Perón,https://www.wikidata.org/entity/Q26761632,3,20,23,Fuera de servicio,Disponible,-3.6989,40.4525
1559,153 - General Perón - Poeta Joan Maragall,"Avenida del General Perón, 36",Avenida del General Perón,https://www.wikidata.org/entity/Q26761632,20,3,23,Disponible,Disponible,-3.6936,40.4523
1560,154 - Orense 36,"Calle Orense, 36","Calle de Orense, Madrid",https://www.wikidata.org/entity/Q26761687,12,12,24,Poca disponibilidad,Disponible,-3.694622,40.454846
1561,155 - San Germán 57,"Calle San Germán, 57","Calle de San Germán, Madrid",https://www.wikidata.org/entity/Q26750807,0,23,23,Fuera de servicio,Disponible,-3.70093,40.457334
1562,156 - Sor Ángela de la Cruz-Paseo Castellana,"Calle Sor Ángela de la Cruz, 2","Calle de Sor Ángela de la Cruz, Madrid",https://www.wikidata.org/entity/Q21011321,21,3,24,Disponible,Disponible,-3.691533,40.459235
1564,158 - Alberto Alcocer - Padre Damián,"Avenida de Alberto Alcocer, 22",avenida de Alberto Alcocer,https://www.wikidata.org/entity/Q26833742,12,11,23,Poca disponibilidad,Disponible,-3.684625,40.45869
1565,159 - Paseo de la Habana 63,"Paseo de la Habana, 63","Paseo de La Habana, Madrid",https://www.wikidata.org/entity/Q28059068,13,10,23,Poca disponibilidad,Disponible,-3.683593,40.454385
1567,161 - Intercambiador de Príncipe Pío A,"Paseo de la Florida, 8","Paseo de la Florida, Madrid",https://www.wikidata.org/entity/Q5576961,3,24,27,Fuera de servicio,Disponible,-3.722099,40.422192
1569,163 - Metro Acacias,"Paseo de la Esperanza, 2A","Paseo de la Esperanza, Madrid",https://www.wikidata.org/entity/Q55947011,11,8,19,Poca disponibilidad,Disponible,-3.706445,40.403759
1570,164 - Paseo de las Delicias - Tomás Bretón,"Paseo de las Delicias, 94","Paseo de las Delicias, Madrid",https://www.wikidata.org/entity/Q6065662,7,20,27,Fuera de servicio,Disponible,-3.69461,40.39723
1572,166 - Viaducto de Segovia,"Calle Segovia, 26",calle de Segovia,https://www.wikidata.org/entity/Q8255505,15,12,27,Poca disponibilidad,Disponible,-3.713377,40.413905
1573,167 - Segovia 45,"Calle Segovia, 45",calle de Segovia,https://www.wikidata.org/entity/Q8255505,9,18,27,Poca disponibilidad,Disponible,-3.717489,40.413748
1575,169 - Glorieta de Pirámides,"Calle Toledo, 181",calle de Toledo,https://www.wikidata.org/entity/Q5740883,22,2,24,Disponible,Disponible,-3.713823,40.401589
1576,"170 - Paseo de la Esperanza, 21","Paseo de la Esperanza, 21","Paseo de la Esperanza, Madrid",https://www.wikidata.org/entity/Q55947011,14,10,24,Poca disponibilidad,Disponible,-3.704396,40.401055
1577,171 - Embajadores-Cáceres,"Calle Embajadores, 97",calle de Embajadores,https://www.wikidata.org/entity/Q5740826,15,12,27,Poca disponibilidad,Disponible,-3.698402,40.399701
1578,172 - Estación de tren de Delicias,"Calle Bustamante, 3","Calle de Bustamante, Madrid",https://www.wikidata.org/entity/Q27430098,8,15,23,Poca disponibilidad,Disponible,-3.693493,40.400828
1579,173 - Paseo Esperanza - Santa María Cabeza,"Paseo de la Esperanza, 59","Paseo de la Esperanza, Madrid",https://www.wikidata.org/entity/Q55947011,1,23,24,Fuera de servicio,Disponible,-3.702484,40.398347
1580,"174 - Paseo de las Yeserías, 45","Paseo de Yeserías, 45","Paseo de las Yeserías, Madrid",https://www.wikidata.org/entity/Q16616818,1,26,27,Fuera de servicio,Disponible,-3.706526,40.39743
1585,179 - Metro Puente de Vallecas,"Avenida de la Albufera, 6",Avenida de la Albufera,https://www.wikidata.org/entity/Q5714221,12,12,24,Poca disponibilidad,Disponible,-3.669272,40.397927
1587,181 - Ibiza - Narváez,"Calle Ibiza, 16","Calle de Ibiza, Madrid",https://www.wikidata.org/entity/Q63247838,6,21,27,Fuera de servicio,Disponible,-3.676444,40.418169
1589,183 - Hermosilla - Doctor Esquerdo,"Calle Hermosilla, 135",Calle de Hermosilla,https://www.wikidata.org/entity/Q28052826,3,20,23,Fuera de servicio,Disponible,-3.669339,40.425635
1592,143 - Diego de León - General Pardiñas,"Calle de Diego de León, 54","Calle de Diego de León, Madrid",https://www.wikidata.org/entity/Q28059485,3,20,23,Fuera de servicio,Disponible,-3.67808,40.434676
1594,188 - Puente de Ventas,"Avenida de Daroca, 2","Avenida de Daroca, Madrid",https://www.wikidata.org/entity/Q62107216,16,11,27,Poca disponibilidad,Disponible,-3.659029,40.431256
1595,189 - Virgen de la Alegría,Avenida donostiarra,avenida Donostiarra,https://www.wikidata.org/entity/Q118670072,1,22,23,Fuera de servicio,Disponible,-3.655492,40.435126
1596,190 - Velázquez - Diego de León,"Calle Velázquez, 91",Calle de Velázquez,https://www.wikidata.org/entity/Q20031523,15,8,23,Poca disponibilidad,Disponible,-3.683375,40.434305
1598,192 - Avda. de los Toreros - Fco. Silvela,"Avenida de los Toreros, 3","Avenida de los Toreros, Madrid",https://www.wikidata.org/entity/Q29918658,15,12,27,Poca disponibilidad,Disponible,-3.671468,40.431826
1599,193 - Plaza de las Ventas,"Avenida De los Toreros, 49","Avenida de los Toreros, Madrid",https://www.wikidata.org/entity/Q29918658,11,16,27,Poca disponibilidad,Disponible,-3.665555,40.432472
1600,194 - Intercambiador de Avenida de América,"Calle Francisco Silvela, 87",Francisco Silvela Street,https://www.wikidata.org/entity/Q26833642,22,2,24,Disponible,Disponible,-3.677154,40.437264
1602,196 - Metro Prosperidad,"Calle Suero de Quiñones, 4","Calle de Suero de Quiñones, Madrid",https://www.wikidata.org/entity/Q29202471,2,25,27,Fuera de servicio,Disponible,-3.675222,40.444224
1603,197 - Parque de Berlín,"Avenida de Concha Espina, 36",avenida de Concha Espina,https://www.wikidata.org/entity/Q27137943,9,14,23,Poca disponibilidad,Disponible,-3.677916,40.451606
1605,"199 - Fernando el Católico, 61","Calle Fernando el Católico, 61","Calle de Fernando el Católico, Madrid",https://www.wikidata.org/entity/Q27243299,4,23,27,Fuera de servicio,Disponible,-3.714917,40.434361
1607,201 - Metro Canal,"Calle José Abascal, 2","Calle de José Abascal, Madrid",https://www.wikidata.org/entity/Q27310549,10,13,23,Poca disponibilidad,Disponible,-3.703833,40.438694
