ID,NOMBRE,NOMBRE_URI,COORDENADAS,DIRECCIÓN,C.P.,POBLACIÓN,POBLACIÓN_URI
35009,Estación de Zarzaquemada,https://wikidata.org/entity/Q5847559,"(40,3409732; -3,7482259)","CALLE DEL RONCAL, 7",28915,Leganés,https://wikidata.org/entity/Q77433
35605,Alcorcón Railway Station,https://wikidata.org/entity/Q112043221,"(40,350199; -3,831678)","AVENIDA DE MOSTOLES, 4",28922,Alcorcón,https://wikidata.org/entity/Q10372
35610,Estación de Las Retamas,https://wikidata.org/entity/Q5846572,"(40,341869; -3,842311)","AVENIDA DE MOSTOLES, S/N",28922,Alcorcón,https://wikidata.org/entity/Q10372
35604,Estación de San José de Valderas,https://wikidata.org/entity/Q5847135,"(40,356574; -3,815577)","AVENIDA DE LISBOA, S/N",28924,Alcorcón,https://wikidata.org/entity/Q10372
35606,Móstoles train station,https://wikidata.org/entity/Q112041078,"(40,328724; -3,863478)","PASEO DE GOYA, S/N",28932,Móstoles,https://wikidata.org/entity/Q187826
35607,Móstoles-El Soto railway station,https://wikidata.org/entity/Q5846791,"(40,330971; -3,882441)","CALLE GRANADA, 10",28935,Móstoles,https://wikidata.org/entity/Q187826
35002,Fuenlabrada Central,https://wikidata.org/entity/Q2486901,"(40,283135; -3,799565)","PASEO DE ROMA, 1",28944,Fuenlabrada,https://wikidata.org/entity/Q54902
35010,estación de La Serna,https://wikidata.org/entity/Q5846535,"(40,296725; -3,792477)","CALLE DE BARCELONA, 28",28945,Fuenlabrada,https://wikidata.org/entity/Q54902
35012,Humanes,https://wikidata.org/entity/Q5846387,"(40,255565; -3,828334)","CALLE ESTACION FERROCARRIL, 5",28970,Humanes de Madrid,https://wikidata.org/entity/Q281632
37012,Parla railway station,https://wikidata.org/entity/Q5846892,"(40,241032; -3,769312)","CALLE REAL, S/N",28981,Parla,https://wikidata.org/entity/Q824651
12023,Cotos Station,https://wikidata.org/entity/Q5846082,"(40,822239; -3,964546)","CARRETERA C-604 - ESTACION FERROCARRIL, S/N",40100,Real Sitio de San Ildefonso,https://wikidata.org/entity/Q1125500
