id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-03T04:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T05:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T06:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T07:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T08:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,500,µg/m³,2025-10-03T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T09:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,600,µg/m³,2025-10-03T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T10:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,700,µg/m³,2025-10-03T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T11:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,600,µg/m³,2025-10-03T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T12:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-03T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T13:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T14:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T15:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-03T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T16:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T17:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-03T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T18:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T19:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T20:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-03T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T21:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-03T21:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T22:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-03T23:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-03T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T00:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T01:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T02:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,500,µg/m³,2025-10-04T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T03:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T04:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T05:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,400,µg/m³,2025-10-04T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
